train,valid,test
0.1562,0.1394,0.1504
0.1966,0.146,0.141
0.2068,0.1388,0.1568
0.2386,0.1532,0.1742
0.2576,0.1772,0.1862
0.2726,0.1767,0.1647
0.2989,0.1879,0.1949
0.3286,0.1977,0.1917
0.3452,0.1916,0.2186
0.3636,0.1921,0.1671
0.372,0.2025,0.2105
0.3763,0.2132,0.2152
0.4042,0.2104,0.2224
0.4146,0.238,0.237
0.4016,0.2102,0.2382
0.431,0.2397,0.2517
0.4304,0.2502,0.2752
0.4366,0.2642,0.2862
0.442,0.2769,0.2729
0.4502,0.2767,0.3067
0.4564,0.2802,0.3012
0.4625,0.2924,0.3194
0.4801,0.3071,0.3081
0.4859,0.3115,0.3285
0.4801,0.2974,0.3044
0.5281,0.3344,0.3414
0.5317,0.3455,0.3635
0.5477,0.3517,0.3657
0.5581,0.3437,0.3337
0.5684,0.3601,0.3731
0.5837,0.3541,0.3731
0.6165,0.3812,0.3972
0.6104,0.3792,0.3632
0.6332,0.3919,0.3949
0.6282,0.4015,0.3945
0.6401,0.4081,0.4061
0.6591,0.423,0.416
0.6551,0.4314,0.4014
0.6767,0.418,0.423
0.6607,0.42,0.424
0.6812,0.4492,0.4492
0.6909,0.4534,0.4474
0.6911,0.4321,0.4321
0.7212,0.4834,0.4864
0.7361,0.4856,0.4696
0.7253,0.5151,0.5061
0.7382,0.5191,0.5341
0.76,0.5374,0.5424
0.7722,0.5609,0.5689
0.7741,0.5652,0.5852
0.7795,0.5861,0.5861
0.7911,0.6007,0.6017
0.8061,0.5985,0.6035
0.8076,0.611,0.638
0.8344,0.62,0.631
0.8395,0.6402,0.6592
0.862,0.6459,0.6709
0.858,0.6571,0.6641
0.863,0.6711,0.6931
0.8592,0.6457,0.6587
0.8699,0.6887,0.6587
0.8871,0.6842,0.7062
0.8612,0.6741,0.6961
0.8994,0.7021,0.7281
0.8902,0.7151,0.7151
0.9037,0.7121,0.7251
0.9044,0.7303,0.7033
0.9161,0.7262,0.7372
0.9112,0.7242,0.7362
0.9214,0.7252,0.7052
0.9221,0.7342,0.7302
0.9177,0.7238,0.7258
0.9234,0.7212,0.7342
0.9323,0.7301,0.7631
